x,I,I_min,I_max,I_norm
82.657,275,,3921.101809,0.038247456
83.278,277,,3923.499409,0.0387505
83.9,284,,3925.90087,0.040570079
84.521,279,,3928.29847,0.039228092
85.143,288,,3930.69993,0.04157129
85.764,282,,3933.09753,0.039967421
86.386,274,,3935.498991,0.037839978
87.007,295,,3937.896591,0.043331009
87.629,288,,3940.298052,0.041466572
88.25,291,,3942.695652,0.042227341
88.872,280,,3945.097113,0.039317479
89.493,311,,3947.494713,0.047413294
90.115,307,,3949.896174,0.046336338
90.736,306,,3952.293774,0.04604565
91.358,339,,3954.695235,0.054644877
91.979,360,,3957.092835,0.060097837
92.601,339,,3959.494296,0.054576397
93.222,324,,3961.891896,0.050627733
93.844,309,,3964.293357,0.046683961
94.465,316,,3966.690957,0.048479276
95.087,298,,3969.092417,0.043760343
95.708,288,,3971.490017,0.041129874
96.329,301,,3973.887617,0.044486212
96.951,322,,3976.289078,0.049918245
97.572,333,,3978.686678,0.052745265
98.194,347,,3981.088139,0.056347711
98.815,375,,3983.485739,0.0635788
99.437,384,,3985.8872,0.065873296
100.058,373,,3988.2848,0.062981354
100.68,348,,3990.686261,0.056466645
101.301,330,,3993.083861,0.051772109
101.923,301,,3995.485322,0.044237653
102.544,305,,3997.882922,0.045244389
103.166,248,,4000.284383,0.030488716
103.787,206,,4002.681983,0.019624643
104.409,176,,4005.083443,0.011870712
105.03,149,,4007.481043,0.004900088
105.652,135,,4009.882504,0.001288699
106.273,137,,4012.280104,0.001803064
106.895,131,,4014.681565,0.000257421
107.516,138,,4017.079165,0.002058101
108.138,146,,4019.480626,0.00411366
108.759,169,,4021.878226,0.010020869
109.381,200,,4024.279687,0.017975083
110.002,239,,4026.677287,0.02797255
110.624,291,,4029.078748,0.041291805
111.245,354,,4031.476348,0.057414163
111.867,444,,4033.877809,0.080432845
112.488,543,,4036.275409,0.105727312
113.109,660,,4038.673009,0.135595891
113.731,802,,4041.07447,0.171819792
114.352,981,,4043.47207,0.21745396
114.974,1139,,4045.87353,0.2576692
115.595,1336,,4048.27113,0.307788808
116.217,1661,,4050.672591,0.390494224
116.838,1954,,4053.070191,0.464941974
117.46,2309,,4055.471652,0.555092532
118.081,2609,,4057.869252,0.631130988
118.703,3023,,4060.270713,0.736081611
119.324,3309,,4062.668313,0.80835701
119.946,3687,,4065.069774,0.903922981
120.567,3887,,4067.467374,0.954166636
121.189,4060,,4069.868835,0.997495136
121.81,4073,,4072.266435,1.000186077
122.432,4019,,4074.667896,0.985887812
123.053,3810,,4077.065496,0.932338215
123.675,3597,,4079.466957,0.877839981
124.296,3155,,4081.864557,0.765461457
124.918,2686,,4084.266017,0.646390503
125.539,2195,,4086.663617,0.521904362
126.161,1743,,4089.065078,0.407419421
126.782,1318,,4091.462678,0.299889232
127.404,1055,,4093.864139,0.233358149
128.025,919,,4096.261739,0.19892787
128.646,1029,,4098.659339,0.22652486
