x,I,I_min,I_max,I_norm
0,1056,130,3601.973913,0.266707073
0.621,867,,3604.371513,0.212124696
1.243,861,,3606.772974,0.21025244
1.864,1053,m,3609.170574,0.265293115
2.486,1377,3.860869565,3611.572035,0.358171535
3.107,1881,,3613.969635,0.502587618
3.729,2411,c,3616.371096,0.654261964
4.35,2975,3601.973913,3618.768696,0.815473953
4.972,3401,,3621.170157,0.93693514
5.593,3607,,3623.567757,0.99525764
6.215,3639,,3625.969217,1.003727373
6.836,3629,,3628.366817,1.000180994
7.458,3526,,3630.768278,0.970072775
8.079,3326,,3633.165878,0.912317632
8.701,3006,,3635.567339,0.820409287
9.322,2677,,3637.964939,0.726061989
9.944,2319,,3640.3664,0.62358163
10.565,1955,,3642.764,0.519533905
11.187,1597,,3645.165461,0.417334551
11.808,1269,,3647.563061,0.323803719
12.43,1010,,3649.964522,0.25000252
13.051,784,,3652.362122,0.185670859
13.673,604,,3654.763583,0.134477104
14.294,476,,3657.161183,0.098095886
14.916,360,,3659.562643,0.065163881
15.537,276,,3661.960243,0.041336819
16.158,220,,3664.357843,0.025464315
16.78,184,,3666.759304,0.015268215
17.401,165,,3669.156904,0.009889361
18.023,158,,3671.558365,0.007906124
18.644,160,,3673.955965,0.008465116
19.266,166,,3676.357426,0.010151261
19.887,195,,3678.755026,0.018316283
20.509,210,,3681.156487,0.022527872
21.13,234,,3683.554087,0.029266474
21.752,263,,3685.955548,0.037402042
22.373,307,,3688.353148,0.049742112
22.995,318,,3690.754609,0.052797797
23.616,371,,3693.152209,0.06763674
24.238,426,,3695.55367,0.08301656
24.859,442,,3697.95127,0.08744514
25.481,452,,3700.35273,0.090187168
26.102,430,,3702.75033,0.083968924
26.724,441,,3705.151791,0.086989314
27.345,462,,3707.549391,0.092800955
27.967,498,,3709.950852,0.102794707
28.588,521,,3712.348452,0.109146278
29.21,508,,3714.749913,0.105446686
29.831,546,,3717.147513,0.115969583
30.453,572,,3719.548974,0.123135247
31.074,595,,3721.946574,0.129456268
31.696,624,,3724.348035,0.137437999
32.317,637,,3726.745635,0.14096076
32.938,697,,3729.143235,0.157537492
33.56,729,,3731.544696,0.166317525
34.181,737,,3733.942296,0.16842667
34.803,737,,3736.343757,0.168314515
35.424,728,,3738.741357,0.165708745
36.046,719,,3741.142817,0.16310626
36.667,724,,3743.540417,0.164381723
37.289,776,,3745.941878,0.178653314
37.91,778,,3748.339478,0.179087674
38.532,760,,3750.740939,0.173997535
39.153,732,,3753.138539,0.166154287
39.775,711,,3755.54,0.16025199
40.396,634,,3757.9376,0.138921904
41.018,624,,3760.339061,0.136075444
41.639,615,,3762.736661,0.133508163
42.261,596,,3765.138122,0.128193203
42.882,627,,3767.535722,0.136630961
43.504,630,,3769.937183,0.137365008
44.125,583,,3772.334783,0.124370775
44.747,542,,3774.736243,0.11303973
45.368,550,,3777.133843,0.115158922
45.99,551,,3779.535304,0.115357152
46.611,538,,3781.932904,0.111721658
47.233,532,,3784.334365,0.110006354
47.854,552,,3786.731965,0.115403591
48.475,519,,3789.129565,0.106309436
49.097,495,,3791.531026,0.099685076
49.718,490,,3793.928626,0.098255189
50.34,505,,3796.330087,0.102282116
50.961,497,,3798.727687,0.10003468
51.583,444,,3801.129148,0.085532267
52.204,407,,3803.526748,0.075404378
52.826,411,,3805.928209,0.076443277
53.447,417,,3808.325809,0.078024627
54.069,402,,3810.72727,0.073898439
54.69,405,,3813.12487,0.074664859
55.312,432,,3815.52633,0.081942163
55.933,394,,3817.92393,0.071584991
56.555,405,,3820.325391,0.074519174
57.176,449,,3822.722991,0.086386117
57.798,458,,3825.124452,0.088765616
58.419,430,,3827.522052,0.081135419
59.041,424,,3829.923513,0.079461102
59.662,420,,3832.321113,0.07832924
60.284,361,,3834.722574,0.062352847
60.905,344,,3837.120174,0.05772675
61.527,346,,3839.521635,0.058228532
62.148,317,,3841.919235,0.050378251
62.77,283,,3844.320696,0.04119192
63.391,290,,3846.718296,0.043048729
64.012,288,,3849.115896,0.042483215
64.634,295,,3851.517357,0.044336754
65.255,300,,3853.914957,0.045650881
65.877,307,,3856.316417,0.047499992
66.498,304,,3858.714017,0.046664882
67.12,315,,3861.115478,0.049583027
67.741,327,,3863.513078,0.052765317
68.363,343,,3865.914539,0.057014152
68.984,319,,3868.312139,0.050557576
69.606,306,,3870.7136,0.047049846
70.227,335,,3873.1112,0.054767275
70.849,359,,3875.512661,0.061139828
71.47,369,,3877.910261,0.063768869
72.092,354,,3880.311722,0.059728368
72.713,338,,3882.709322,0.055426622
73.335,338,,3885.110783,0.055391175
73.956,324,,3887.508383,0.051629958
74.578,287,,3889.909843,0.04175632
75.199,284,,3892.307443,0.040932327
75.821,265,,3894.708904,0.035859346
76.442,251,,3897.106504,0.032120143
77.064,244,,3899.507965,0.030242674
77.685,238,,3901.905565,0.028632742
78.307,217,,3904.307026,0.023050589
78.928,218,,3906.704626,0.023300737
79.55,238,,3909.106087,0.028578187
80.171,246,,3911.503687,0.030675628
80.792,255,,3913.901287,0.033034688
81.414,239,,3916.302748,0.028787978
82.035,259,,3918.700348,0.034048615
