x,I,I_min,I_max,I_norm
103.166,938,,3302.313645,0.207221665
103.787,1074,,3303.242243,0.252745147
104.409,1143,,3304.172336,0.275788362
105.03,1245,,3305.100935,0.309872269
105.652,1340,,3306.031028,0.341590556
106.273,1400,,3306.959626,0.361571677
106.895,1507,,3307.88972,0.397270352
107.516,1507,,3308.818318,0.397146924
108.138,1612,,3309.748411,0.432143385
108.759,1730,,3310.677009,0.471465155
109.381,1844,,3311.607103,0.509425184
110.002,1964,,3312.535701,0.54936688
110.624,2084,,3313.465794,0.5892835
111.245,2260,,3314.394393,0.647877249
111.867,2420,,3315.324486,0.701092656
112.488,2567,,3316.253084,0.74993665
113.109,2702,,3317.181682,0.794746616
113.731,2829,,3318.111776,0.83686006
114.352,2997,,3319.040374,0.89261886
114.974,3082,,3319.970467,0.92067573
115.595,3205,,3320.899065,0.961378553
116.217,3301,,3321.829159,0.993061178
116.838,3323,,3322.757757,1.000080674
117.46,3229,,3323.68785,0.968476135
118.081,3165,,3324.616449,0.946876265
118.703,2956,,3325.546542,0.877045144
119.324,2748,,3326.47514,0.807590247
119.946,2461,,3327.405234,0.711909382
120.567,2112,,3328.333832,0.595678572
121.189,1724,,3329.263925,0.466559277
121.81,1316,,3330.192523,0.330875847
122.432,947,,3331.122617,0.208227987
123.053,672,,3332.051215,0.116863883
123.675,539,,3332.981308,0.072685482
124.296,484,,3333.909907,0.054414367
124.918,550,,3334.84,0.076289289
125.539,786,,3335.768598,0.154521139
126.161,1140,,3336.698692,0.271820319
126.782,1549,,3337.62729,0.407273623
127.404,1980,,3338.557383,0.54993157
128.025,2353,,3339.485981,0.673293406
128.646,2597,,3340.414579,0.75387002
